protein1	protein2	score
P04626	Q9Y5H3	711
P40189	P05112	711
P29353	P15248	711
Q8NEV1	Q9ULB4	711
P18031	Q96JP9	711
Q99665	Q13261	711
Q13546	Q14790	711
Q9Y4H2	Q9NPF7	711
Q562R1	Q9NYQ8	711
P35222	Q9Y5G5	711
P42338	Q9NPF7	711
P68133	Q9UN71	711
P63267	P22223	711
P35222	P55285	711
O60353	O00755	711
Q07889	P16885	711
P12931	Q9Y5H0	711
Q9Y4H2	Q01344	711
Q9Y5H5	P21860	711
Q9Y5F2	P21860	711
Q9UHF4	Q9H6Q3	711
Q9Y618	P46531	711
P11912	Q8WV28	711
Q9Y5F6	P60709	711
Q9NYQ7	P35222	711
P35222	Q96JQ0	711
Q9Y5G2	Q9UQB3	711
Q15303	P55285	711
P63261	Q9UN73	711
Q9H251	Q9UQB3	711
P35222	P22223	711
P67870	P55283	711
Q13261	P40933	711
Q9Y5E6	P04626	711
Q562R1	Q9HBT6	711
P63000	Q9Y2U5	711
Q9Y5F0	Q9UQB3	711
Q9UHF4	P60568	711
P19784	Q9Y5H2	711
Q9Y5H6	Q9UQB3	711
P67870	Q9UN73	711
P62993	Q14573	711
Q9ULV1	P56705	711
P42229	Q8TD08	711
P04626	Q9Y5H0	711
Q16659	Q15418	711
P19784	Q9HC56	711
Q9Y5F0	P04626	711
P68133	Q96JQ0	711
Q9UP38	Q9H1J7	711
Q14627	P05113	711
Q9UN73	P61160	711
P35222	Q9Y5F3	711
P12931	Q9UN70	711
P68133	Q9UJ99	711
Q07890	Q9Y4H2	711
P60709	P55287	711
Q9NPF7	P52333	711
P51828	P59768	711
Q9UN74	P16591	711
Q07890	P40189	711
P55283	Q15303	711
Q9NRJ7	P42685	711
P68133	Q9H158	711
O60716	Q12864	711
P68133	P00533	711
P55286	P21860	711
P60568	Q01344	711
P01589	P20809	711
Q02156	P78560	711
O14905	Q9ULW2	711
Q8TAB3	P00533	711
P04626	Q9HBT6	711
P29353	Q9NPF7	711
O14733	Q99683	711
P55285	P21860	711
O60353	Q9H1J7	711
Q9Y5G2	P42685	711
P41970	Q13164	711
P12931	Q8TAB3	711
Q86UP0	P16591	711
Q13634	P21860	711
Q13634	P63267	711
Q9UN70	P19784	711
Q9Y5H3	Q9UQB3	711
P99999	O14727	711
P04626	Q9ULB4	711
Q9Y5F9	O60716	711
P08887	Q07889	711
P08151	O95071	711
Q93097	O00144	711
Q9UN74	Q15303	711
P40933	Q9NPF7	711
P68032	P00533	711
P42701	P78552	711
Q05655	O15111	711
Q9Y5E7	P16591	711
Q9Y5E4	P16591	711
O60716	Q9HBT6	711
P12931	Q9ULB4	711
P16591	Q9Y5F1	711
P63261	Q9Y5I2	711
P18031	Q9H159	711
P20809	P42701	711
Q9NRJ7	P63267	711
P55287	Q9UQB3	711
Q9Y4H2	P05231	711
P06241	Q96JQ0	711
Q99665	Q07889	711
P55283	Q8NEV1	711
Q9H251	P04626	711
P60709	Q9Y5I0	711
P18031	Q9Y5E3	711
Q9Y5E7	P61160	711
P35222	O00744	711
P63261	Q14517	711
O14654	P11717	711
P00533	Q562R1	711
P16591	Q9UN67	711
P63261	P00533	711
P63000	P15498	711
Q9Y5H1	P00533	711
O96014	Q14332	711
O95206	P21860	711
P06241	Q9Y5E7	711
P10071	P31321	711
P67870	Q9Y5I3	711
P00533	Q9Y5I0	711
P05412	P53778	711
P17252	O15111	711
P35568	P24394	711
Q9Y6F9	Q9ULW2	711
P63267	P33151	711
Q9Y243	P42336	711
P06241	Q9UN66	711
Q9Y5I4	P19784	711
Q06187	P01112	711
Q07890	P05231	711
Q9Y5I3	P61160	711
Q13651	P29353	711
P05412	O15264	711
P12931	Q9NRJ7	711
P63261	Q96JP9	711
Q9UHF4	P40933	711
Q9NYQ6	Q9UQB3	711
Q9Y5G5	P16591	711
Q13467	Q9H1J7	711
Q9Y5E8	P19784	711
O95819	P78560	711
P28482	P18846	711
P67870	Q9Y5E7	711
P04626	Q9Y5E4	711
P40189	P24394	711
P40189	Q9NPF7	711
Q8NEV1	Q9Y5H2	711
P35222	P04626	711
P20809	P29353	711
Q13158	Q14790	711
Q9UM47	Q9BYC5	711
Q15628	P42336	711
P68133	Q9Y5H9	711
P13232	Q01344	711
P01112	P16885	711
P61160	Q9Y5I1	711
Q96QU1	P42685	711
O75084	O14905	711
Q9UN74	P21860	711
P67870	P68133	711
Q9HCL0	Q562R1	711
P42338	Q08334	711
P42338	P35568	711
P63261	Q9Y5E9	711
P27361	P05412	711
Q562R1	Q9Y5E9	711
P55286	P16591	711
P26951	P42701	711
Q14627	Q9Y4H2	711
P63261	Q9P2E7	711
Q14517	Q8NEV1	711
P19784	Q9Y5I0	711
P20809	P25025	711
Q15759	P01100	711
P56706	O60353	711
P35222	Q9Y5F9	711
P62736	Q9ULB5	711
P35225	Q9H6Q3	711
Q15303	Q9Y5H2	711
O60716	P61160	711
Q9Y5H4	O60716	711
Q99558	Q13546	711
P55287	P61160	711
P68032	Q9Y5H4	711
Q14626	P01583	711
Q9Y5H1	P19784	711
P15153	Q8WV28	711
Q9Y5G2	P63267	711
P01583	P78552	711
P60709	Q9ULB5	711
P68133	Q96JP9	711
P67870	Q9Y5E2	711
Q07890	P35568	711
P33151	P61160	711
P19784	Q9P2E7	711
P05113	Q9NPF7	711
Q9Y5F0	P63267	711
