From	Entry	Entry Name
ENSG00000197302	Q7Z2F6	KRBX5_HUMAN
ENSG00000205899	Q7RTU4	BHA09_HUMAN
ENSG00000176679	Q8IUE0	TF2LY_HUMAN
ENSG00000168813	Q8TCN5	ZN507_HUMAN
ENSG00000120669	Q9NX45	SOLH2_HUMAN
ENSG00000089225	Q99593	TBX5_HUMAN
ENSG00000112033	Q03181	PPARD_HUMAN
ENSG00000170561	Q9BZI1	IRX2_HUMAN
ENSG00000089486	Q9H305	CDIP1_HUMAN
ENSG00000198315	Q15776	ZKSC8_HUMAN
ENSG00000166716	Q92610	ZN592_HUMAN
ENSG00000178150	Q8NC26	ZN114_HUMAN
ENSG00000087510	Q92754	AP2C_HUMAN
ENSG00000141956	P57071	PRD15_HUMAN
ENSG00000183621	Q7Z4V0	ZN438_HUMAN
ENSG00000213015	Q9UK33	ZN580_HUMAN
ENSG00000029153	Q8WYA1	BMAL2_HUMAN
ENSG00000171163	Q9BU19	ZN692_HUMAN
ENSG00000260027	P09629	HXB7_HUMAN
ENSG00000256771	O75346	ZN253_HUMAN
ENSG00000106459	Q16656	NRF1_HUMAN
ENSG00000176542	Q68DE3	USF3_HUMAN
ENSG00000180818	Q9NYD6	HXC10_HUMAN
ENSG00000130751	Q99742	NPAS1_HUMAN
ENSG00000079432	Q96RK0	CIC_HUMAN
ENSG00000118156	Q9H0D2	ZN541_HUMAN
ENSG00000185551	P24468	COT2_HUMAN
ENSG00000142528	Q8WTR7	ZN473_HUMAN
ENSG00000158805	Q8N554	ZN276_HUMAN
ENSG00000140262	Q99081	HTF4_HUMAN
ENSG00000175322	Q8TB69	ZN519_HUMAN
ENSG00000121417	Q13398	ZN211_HUMAN
ENSG00000146587	Q9NYW8	RBAK_HUMAN
ENSG00000187626	Q969J2	ZKSC4_HUMAN
ENSG00000198046	Q5HYK9	ZN667_HUMAN
ENSG00000173404	Q01101	INSM1_HUMAN
ENSG00000197050	Q8TAQ5	ZN420_HUMAN
ENSG00000185404	Q9H930	SP14L_HUMAN
ENSG00000166860	O15060	ZBT39_HUMAN
ENSG00000101883	Q8NHV9	RHXF1_HUMAN
ENSG00000241149	A0A1W2PQL4	ZN722_HUMAN
ENSG00000197714	Q14592	ZN460_HUMAN
ENSG00000078246	O75386	TULP3_HUMAN
ENSG00000181965	Q92886	NGN1_HUMAN
ENSG00000257591	Q96I27	ZN625_HUMAN
ENSG00000139445	Q96NZ1	FOXN4_HUMAN
ENSG00000178764	Q9Y6X8	ZHX2_HUMAN
ENSG00000161642	Q96PM9	Z385A_HUMAN
ENSG00000039600	O94993	SOX30_HUMAN
ENSG00000141568	Q01167	FOXK2_HUMAN
ENSG00000197343	Q8N720	ZN655_HUMAN
ENSG00000163848	Q9UQR1	ZN148_HUMAN
ENSG00000197779	P51508	ZNF81_HUMAN
ENSG00000184436	Q9BT49	THAP7_HUMAN
ENSG00000188033	Q9ULM2	ZN490_HUMAN
ENSG00000186103	A6NJG6	ARGFX_HUMAN
ENSG00000130684	Q9Y3M9	ZN337_HUMAN
ENSG00000111206	Q08050	FOXM1_HUMAN
ENSG00000063587	Q9NSD4	ZN275_HUMAN
ENSG00000127124	Q5T1R4	ZEP3_HUMAN
ENSG00000170448	Q6ZNB6	NFXL1_HUMAN
ENSG00000112238	Q9H4Q3	PRD13_HUMAN
ENSG00000198466	Q96SQ5	ZN587_HUMAN
ENSG00000267508	Q96NJ3	ZN285_HUMAN
ENSG00000177030	O75398	DEAF1_HUMAN
ENSG00000172238	Q92858	ATOH1_HUMAN
ENSG00000181450	Q5SXM1	ZN678_HUMAN
ENSG00000130700	Q9BWX5	GATA5_HUMAN
ENSG00000005436	P16383	GCFC2_HUMAN
ENSG00000159556	Q96A47	ISL2_HUMAN
ENSG00000198093	Q9BS31	ZN649_HUMAN
ENSG00000204604	Q5VIY5	ZN468_HUMAN
ENSG00000204531	Q01860	PO5F1_HUMAN
ENSG00000177551	Q02577	HEN2_HUMAN
ENSG00000175329	Q2M1V0	ISX_HUMAN
ENSG00000111704	Q9H9S0	NANOG_HUMAN
ENSG00000162676	Q99684	GFI1_HUMAN
ENSG00000179361	Q8IVW6	ARI3B_HUMAN
ENSG00000066422	O95625	ZBT11_HUMAN
ENSG00000070476	Q2QGD7	ZXDC_HUMAN
ENSG00000137492	O43422	P52K_HUMAN
ENSG00000169840	Q9H4S2	GSX1_HUMAN
ENSG00000126456	Q14653	IRF3_HUMAN
ENSG00000188295	Q96BR6	ZN669_HUMAN
ENSG00000180938	Q7Z3I7	ZN572_HUMAN
ENSG00000167074	Q10587	TEF_HUMAN
ENSG00000115297	O43763	TLX2_HUMAN
ENSG00000196150	P15622	ZN250_HUMAN
ENSG00000183434	Q5H9I0	TFDP3_HUMAN
ENSG00000054598	Q12948	FOXC1_HUMAN
ENSG00000172819	P13631	RARG_HUMAN
ENSG00000120837	P25208	NFYB_HUMAN
ENSG00000196812	Q9H4T2	ZSC16_HUMAN
ENSG00000083844	O43296	ZN264_HUMAN
ENSG00000112041	O00294	TULP1_HUMAN
ENSG00000198911	Q12772	SRBP2_HUMAN
ENSG00000136870	O75820	ZN189_HUMAN
ENSG00000213928	Q00978	IRF9_HUMAN
ENSG00000120738	P18146	EGR1_HUMAN
ENSG00000198182	Q96SK3	ZN607_HUMAN
ENSG00000196387	P52738	ZN140_HUMAN
ENSG00000064195	O60479	DLX3_HUMAN
ENSG00000164048	Q86UQ0	ZN589_HUMAN
ENSG00000172000	Q9HAH1	ZN556_HUMAN
ENSG00000019549	O43623	SNAI2_HUMAN
ENSG00000196466	Q96GE5	ZN799_HUMAN
ENSG00000160908	Q53GI3	ZN394_HUMAN
ENSG00000196646	P52737	ZN136_HUMAN
ENSG00000251493	Q16676	FOXD1_HUMAN
